"Facultad","Ano","Ambos sexos","Hombre","Mujer"
"Ciencias Políticas y Sociología","2025",3.50390625,3.95774647887324,2.93859649122807
"Ciencias Químicas","2018",3.87903225806452,4.26153846153846,3.45762711864407
"Ciencias Químicas","2019",3.99615384615385,4.35036496350365,3.60162601626016
"Ciencias Químicas","2020",4.30681818181818,4.68055555555556,3.85833333333333
"Ciencias Químicas","2021",4.14869888475836,4.52112676056338,3.73228346456693
"Ciencias Químicas","2022",3.74242424242424,4.02797202797203,3.40495867768595
"Ciencias Químicas","2023",3.38515901060071,3.89333333333333,2.81203007518797
"Ciencias Químicas","2024",3.5916955017301,3.92948717948718,3.19548872180451
"Ciencias Químicas","2025",3.63758389261745,4.11392405063291,3.1
"Ciencias de la Documentación","2018",4.45238095238095,5.42857142857143,3.47619047619048
"Ciencias de la Documentación","2019",4.27027027027027,4.73333333333333,3.95454545454545
"Ciencias de la Documentación","2020",3.48888888888889,3.75,3.28
"Ciencias de la Documentación","2021",3.53488372093023,4.27777777777778,3
"Ciencias de la Documentación","2022",3.90909090909091,5.05,2.95833333333333
"Ciencias de la Documentación","2023",4.26086956521739,4.47826086956522,4.04347826086957
"Ciencias de la Documentación","2024",3.92105263157895,5,2.95
"Ciencias de la Documentación","2025",2.88888888888889,2.88888888888889,2.88888888888889
"Ciencias de la Información","2018",3.62559241706161,3.70408163265306,3.55752212389381
"Ciencias de la Información","2019",3.46376811594203,3.76415094339623,3.14851485148515
"Ciencias de la Información","2020",4.46382978723404,4.86842105263158,4.08264462809917
"Ciencias de la Información","2021",4.60085836909871,4.63716814159292,4.56666666666667
"Ciencias de la Información","2022",4.74903474903475,4.47692307692308,5.02325581395349
"Ciencias de la Información","2023",4.17768595041322,4.36290322580645,3.98305084745763
"Ciencias de la Información","2024",4.20851063829787,4.1965811965812,4.22033898305085
"Ciencias de la Información","2025",3.48717948717949,3.47008547008547,3.5042735042735
"Comercio y Turismo","2018",2.9,2.875,2.91666666666667
"Comercio y Turismo","2019",2.93478260869565,2.52631578947368,3.22222222222222
"Comercio y Turismo","2020",4.10416666666667,4.23809523809524,4
"Comercio y Turismo","2021",3.41666666666667,4,3
"Comercio y Turismo","2022",4.51020408163265,4.27777777777778,4.64516129032258
"Comercio y Turismo","2023",3.19298245614035,3.36363636363636,3.08571428571429
"Comercio y Turismo","2024",3.8,2.85714285714286,4.625
"Comercio y Turismo","2025",3.69230769230769,3.85714285714286,3.58064516129032
"Derecho","2018",3.64830508474576,3.91851851851852,3.28712871287129
